,HomeTeam,AwayTeam,WhoWin,Score,DateNew,pctg,count,period
0,Wales,Scotland,1,21 - 10,2018-11-03,0.6666666666666666,2,recent3
2,Wales,Scotland,2,34 - 7,2018-02-03,0.3333333333333333,1,recent3
3,Wales,Italy,1,38 - 14,2018-03-11,1.0,3,recent3
6,Wales,Ireland,2,22 - 9,2017-03-10,0.6666666666666666,2,recent3
8,Wales,Ireland,1,23 - 16,2015-03-14,0.3333333333333333,1,recent3
9,Wales,France,1,14 - 13,2018-03-17,0.6666666666666666,2,recent3
11,Wales,France,2,27 - 6,2014-02-21,0.3333333333333333,1,recent3
12,Wales,England,2,16 - 21,2017-02-11,0.6666666666666666,2,recent3
14,Wales,England,1,30 - 3,2013-03-16,0.3333333333333333,1,recent3
15,Scotland,Wales,1,29 - 13,2017-02-25,0.3333333333333333,1,recent3
16,Scotland,Wales,2,23 - 26,2015-02-15,0.6666666666666666,2,recent3
18,Scotland,Italy,1,29 - 0,2017-03-18,0.3333333333333333,1,recent3
19,Scotland,Italy,2,48 - 7,2015-08-29,0.6666666666666666,2,recent3
21,Scotland,Ireland,1,27 - 22,2017-02-04,0.3333333333333333,1,recent3
22,Scotland,Ireland,2,10 - 40,2015-03-21,0.6666666666666666,2,recent3
24,Scotland,France,1,32 - 26,2018-02-11,0.6666666666666666,2,recent3
26,Scotland,France,2,17 - 19,2014-03-08,0.3333333333333333,1,recent3
27,Scotland,England,1,25 - 13,2018-02-24,0.6666666666666666,2,recent3
29,Scotland,England,2,0 - 20,2014-02-08,0.3333333333333333,1,recent3
30,Italy,Wales,1,7 - 33,2017-02-05,0.3333333333333333,1,recent3
31,Italy,Wales,2,20 - 61,2015-03-21,0.6666666666666666,2,recent3
33,Italy,Scotland,2,27 - 29,2018-03-17,1.0,3,recent3
36,Italy,Ireland,2,10 - 63,2017-02-11,0.6666666666666666,2,recent3
38,Italy,Ireland,1,3 - 26,2015-02-07,0.3333333333333333,1,recent3
39,Italy,France,2,18 - 40,2017-03-11,0.6666666666666666,2,recent3
41,Italy,France,1,23 - 18,2013-02-03,0.3333333333333333,1,recent3
42,Italy,England,2,15 - 46,2018-02-04,0.6666666666666666,2,recent3
44,Italy,England,1,9 - 40,2016-02-14,0.3333333333333333,1,recent3
45,Ireland,Wales,1,37 - 27,2018-02-24,0.3333333333333333,1,recent3
46,Ireland,Wales,0,16 - 16,2016-02-07,0.3333333333333333,1,recent3
47,Ireland,Wales,2,10 - 16,2015-08-29,0.3333333333333333,1,recent3
48,Ireland,Scotland,2,28 - 8,2018-03-10,0.3333333333333333,1,recent3
49,Ireland,Scotland,1,35 - 25,2016-03-19,0.6666666666666666,2,recent3
51,Ireland,Italy,2,54 - 7,2018-11-03,0.3333333333333333,1,recent3
52,Ireland,Italy,1,56 - 19,2018-02-10,0.6666666666666666,2,recent3
54,Ireland,France,2,19 - 9,2017-02-25,0.3333333333333333,1,recent3
55,Ireland,France,1,18 - 11,2015-02-14,0.3333333333333333,1,recent3
56,Ireland,France,0,13 - 13,2013-03-09,0.3333333333333333,1,recent3
57,Ireland,England,2,13 - 9,2017-03-18,0.6666666666666666,2,recent3
59,Ireland,England,1,6 - 12,2013-02-10,0.3333333333333333,1,recent3
60,France,Wales,1,20 - 18,2017-03-18,0.3333333333333333,1,recent3
61,France,Wales,2,13 - 20,2015-02-28,0.6666666666666666,2,recent3
63,France,Scotland,1,22 - 16,2017-02-12,0.6666666666666666,2,recent3
65,France,Scotland,2,15 - 8,2015-02-07,0.3333333333333333,1,recent3
66,France,Italy,1,34 - 17,2018-02-23,1.0,3,recent3
69,France,Ireland,2,13 - 15,2018-02-03,0.6666666666666666,2,recent3
71,France,Ireland,1,9 - 24,2015-10-11,0.3333333333333333,1,recent3
72,France,England,1,22 - 16,2018-03-10,0.6666666666666666,2,recent3
74,France,England,2,21 - 31,2016-03-19,0.3333333333333333,1,recent3
75,England,Wales,2,12 - 6,2018-02-10,0.3333333333333333,1,recent3
76,England,Wales,1,27 - 13,2016-05-29,0.6666666666666666,2,recent3
78,England,Scotland,1,61 - 21,2017-03-11,1.0,3,recent3
81,England,Italy,1,36 - 15,2017-02-26,1.0,3,recent3
84,England,Ireland,2,15 - 24,2018-03-17,0.3333333333333333,1,recent3
85,England,Ireland,1,21 - 10,2016-02-27,0.6666666666666666,2,recent3
87,England,France,1,19 - 16,2017-02-04,1.0,3,recent3
0,Wales,Scotland,1,21 - 10,2018-11-03,0.8,4,recent5
4,Wales,Scotland,2,34 - 7,2018-02-03,0.2,1,recent5
5,Wales,Italy,1,38 - 14,2018-03-11,0.8,4,recent5
9,Wales,Italy,2,24 - 3,2012-03-10,0.2,1,recent5
10,Wales,Ireland,2,22 - 9,2017-03-10,0.6,3,recent5
13,Wales,Ireland,1,23 - 16,2015-03-14,0.4,2,recent5
15,Wales,France,1,14 - 13,2018-03-17,0.4,2,recent5
17,Wales,France,2,27 - 6,2014-02-21,0.6,3,recent5
20,Wales,England,2,16 - 21,2017-02-11,0.8,4,recent5
24,Wales,England,1,30 - 3,2013-03-16,0.2,1,recent5
25,Scotland,Wales,1,29 - 13,2017-02-25,0.4,2,recent5
27,Scotland,Wales,2,23 - 26,2015-02-15,0.6,3,recent5
30,Scotland,Italy,1,29 - 0,2017-03-18,0.6,3,recent5
33,Scotland,Italy,2,48 - 7,2015-08-29,0.4,2,recent5
35,Scotland,Ireland,1,27 - 22,2017-02-04,0.2,1,recent5
36,Scotland,Ireland,2,10 - 40,2015-03-21,0.8,4,recent5
40,Scotland,France,1,32 - 26,2018-02-11,0.6,3,recent5
43,Scotland,France,2,17 - 19,2014-03-08,0.4,2,recent5
45,Scotland,England,1,25 - 13,2018-02-24,0.6,3,recent5
48,Scotland,England,2,0 - 20,2014-02-08,0.2,1,recent5
49,Scotland,England,0,15 - 15,2010-03-13,0.2,1,recent5
50,Italy,Wales,1,7 - 33,2017-02-05,0.4,2,recent5
52,Italy,Wales,2,20 - 61,2015-03-21,0.6,3,recent5
55,Italy,Scotland,2,27 - 29,2018-03-17,1.0,5,recent5
60,Italy,Ireland,2,10 - 63,2017-02-11,0.6,3,recent5
63,Italy,Ireland,1,3 - 26,2015-02-07,0.4,2,recent5
65,Italy,France,2,18 - 40,2017-03-11,0.4,2,recent5
67,Italy,France,1,23 - 18,2013-02-03,0.6,3,recent5
70,Italy,England,2,15 - 46,2018-02-04,0.8,4,recent5
74,Italy,England,1,9 - 40,2016-02-14,0.2,1,recent5
75,Ireland,Wales,1,37 - 27,2018-02-24,0.2,1,recent5
76,Ireland,Wales,0,16 - 16,2016-02-07,0.2,1,recent5
77,Ireland,Wales,2,10 - 16,2015-08-29,0.6,3,recent5
80,Ireland,Scotland,2,28 - 8,2018-03-10,0.4,2,recent5
82,Ireland,Scotland,1,35 - 25,2016-03-19,0.6,3,recent5
85,Ireland,Italy,2,54 - 7,2018-11-03,0.6,3,recent5
88,Ireland,Italy,1,56 - 19,2018-02-10,0.4,2,recent5
90,Ireland,France,2,19 - 9,2017-02-25,0.6,3,recent5
93,Ireland,France,1,18 - 11,2015-02-14,0.2,1,recent5
94,Ireland,France,0,13 - 13,2013-03-09,0.2,1,recent5
95,Ireland,England,2,13 - 9,2017-03-18,0.6,3,recent5
98,Ireland,England,1,6 - 12,2013-02-10,0.4,2,recent5
100,France,Wales,1,20 - 18,2017-03-18,0.6,3,recent5
103,France,Wales,2,13 - 20,2015-02-28,0.4,2,recent5
105,France,Scotland,1,22 - 16,2017-02-12,0.8,4,recent5
109,France,Scotland,2,15 - 8,2015-02-07,0.2,1,recent5
110,France,Italy,1,34 - 17,2018-02-23,1.0,5,recent5
115,France,Ireland,2,13 - 15,2018-02-03,0.4,2,recent5
117,France,Ireland,1,9 - 24,2015-10-11,0.4,2,recent5
119,France,Ireland,0,17 - 17,2012-03-04,0.2,1,recent5
120,France,England,1,22 - 16,2018-03-10,0.6,3,recent5
123,France,England,2,21 - 31,2016-03-19,0.4,2,recent5
125,England,Wales,2,12 - 6,2018-02-10,0.6,3,recent5
128,England,Wales,1,27 - 13,2016-05-29,0.4,2,recent5
130,England,Scotland,1,61 - 21,2017-03-11,1.0,5,recent5
135,England,Italy,1,36 - 15,2017-02-26,0.8,4,recent5
139,England,Italy,2,20 - 7,2007-02-10,0.2,1,recent5
140,England,Ireland,2,15 - 24,2018-03-17,0.6,3,recent5
143,England,Ireland,1,21 - 10,2016-02-27,0.4,2,recent5
145,England,France,1,19 - 16,2017-02-04,0.6,3,recent5
148,England,France,2,12 - 19,2011-10-08,0.4,2,recent5
0,Wales,Scotland,1,21 - 10,2018-11-03,0.7,7,recent10
7,Wales,Scotland,2,34 - 7,2018-02-03,0.3,3,recent10
10,Wales,Italy,1,38 - 14,2018-03-11,0.7,7,recent10
17,Wales,Italy,2,24 - 3,2012-03-10,0.2,2,recent10
19,Wales,Italy,0,18 - 18,2006-03-11,0.1,1,recent10
20,Wales,Ireland,2,22 - 9,2017-03-10,0.5,5,recent10
25,Wales,Ireland,1,23 - 16,2015-03-14,0.5,5,recent10
30,Wales,France,1,14 - 13,2018-03-17,0.4,4,recent10
34,Wales,France,2,27 - 6,2014-02-21,0.6,6,recent10
40,Wales,England,2,16 - 21,2017-02-11,0.5,5,recent10
45,Wales,England,1,30 - 3,2013-03-16,0.5,5,recent10
50,Scotland,Wales,1,29 - 13,2017-02-25,0.4,4,recent10
54,Scotland,Wales,2,23 - 26,2015-02-15,0.5,5,recent10
59,Scotland,Wales,0,28 - 28,2001-02-17,0.1,1,recent10
60,Scotland,Italy,1,29 - 0,2017-03-18,0.5,5,recent10
65,Scotland,Italy,2,48 - 7,2015-08-29,0.5,5,recent10
70,Scotland,Ireland,1,27 - 22,2017-02-04,0.2,2,recent10
72,Scotland,Ireland,2,10 - 40,2015-03-21,0.8,8,recent10
80,Scotland,France,1,32 - 26,2018-02-11,0.5,5,recent10
85,Scotland,France,2,17 - 19,2014-03-08,0.5,5,recent10
90,Scotland,England,1,25 - 13,2018-02-24,0.6,6,recent10
96,Scotland,England,2,0 - 20,2014-02-08,0.3,3,recent10
99,Scotland,England,0,15 - 15,2010-03-13,0.1,1,recent10
100,Italy,Wales,1,7 - 33,2017-02-05,0.4,4,recent10
104,Italy,Wales,2,20 - 61,2015-03-21,0.6,6,recent10
110,Italy,Scotland,2,27 - 29,2018-03-17,0.7,7,recent10
117,Italy,Scotland,1,16 - 12,2010-02-27,0.3,3,recent10
120,Italy,Ireland,2,10 - 63,2017-02-11,0.6,6,recent10
126,Italy,Ireland,1,3 - 26,2015-02-07,0.4,4,recent10
130,Italy,France,2,18 - 40,2017-03-11,0.6,6,recent10
136,Italy,France,1,23 - 18,2013-02-03,0.4,4,recent10
140,Italy,England,2,15 - 46,2018-02-04,0.7,7,recent10
147,Italy,England,1,9 - 40,2016-02-14,0.3,3,recent10
150,Ireland,Wales,1,37 - 27,2018-02-24,0.3,3,recent10
153,Ireland,Wales,0,16 - 16,2016-02-07,0.1,1,recent10
154,Ireland,Wales,2,10 - 16,2015-08-29,0.6,6,recent10
160,Ireland,Scotland,2,28 - 8,2018-03-10,0.3,3,recent10
163,Ireland,Scotland,1,35 - 25,2016-03-19,0.7,7,recent10
170,Ireland,Italy,2,54 - 7,2018-11-03,0.4,4,recent10
174,Ireland,Italy,1,56 - 19,2018-02-10,0.6,6,recent10
180,Ireland,France,2,19 - 9,2017-02-25,0.5,5,recent10
185,Ireland,France,1,18 - 11,2015-02-14,0.4,4,recent10
189,Ireland,France,0,13 - 13,2013-03-09,0.1,1,recent10
190,Ireland,England,2,13 - 9,2017-03-18,0.3,3,recent10
193,Ireland,England,1,6 - 12,2013-02-10,0.7,7,recent10
200,France,Wales,1,20 - 18,2017-03-18,0.4,4,recent10
204,France,Wales,2,13 - 20,2015-02-28,0.6,6,recent10
210,France,Scotland,1,22 - 16,2017-02-12,0.6,6,recent10
216,France,Scotland,2,15 - 8,2015-02-07,0.4,4,recent10
220,France,Italy,1,34 - 17,2018-02-23,1.0,10,recent10
230,France,Ireland,2,13 - 15,2018-02-03,0.3,3,recent10
233,France,Ireland,1,9 - 24,2015-10-11,0.6,6,recent10
239,France,Ireland,0,17 - 17,2012-03-04,0.1,1,recent10
240,France,England,1,22 - 16,2018-03-10,0.5,5,recent10
245,France,England,2,21 - 31,2016-03-19,0.5,5,recent10
250,England,Wales,2,12 - 6,2018-02-10,0.4,4,recent10
254,England,Wales,1,27 - 13,2016-05-29,0.6,6,recent10
260,England,Scotland,1,61 - 21,2017-03-11,0.9,9,recent10
269,England,Scotland,2,40 - 9,2003-03-22,0.1,1,recent10
270,England,Italy,1,36 - 15,2017-02-26,0.6,6,recent10
276,England,Italy,2,20 - 7,2007-02-10,0.4,4,recent10
280,England,Ireland,2,15 - 24,2018-03-17,0.5,5,recent10
285,England,Ireland,1,21 - 10,2016-02-27,0.5,5,recent10
290,England,France,1,19 - 16,2017-02-04,0.5,5,recent10
295,England,France,2,12 - 19,2011-10-08,0.5,5,recent10
